Best Engineering Contribution - Classical Recording,"b'Victory At Sea, Vol. I'","b'Robert Russell Bennett, conductor'"
Best Engineering Contribution - Novelty Recording,b"Alvin's Harmonica",b'David Seville'
Best Engineering Contribution - Other Than Classical Or Novelty,b'Belafonte At Carnegie Hall',b'Harry Belafonte'
Best Album Cover,b'Shostakovich: Symphony No. 5',"b'Howard Mitchell, conductor'"
Best New Artist Of 1959,b'Bobby Darin',b'Bobby Darin'
Record Of The Year,b'The Theme From A Summer Place',b'Percy Faith & His Orchestra'
Album Of The Year,b'The Button-Down Mind Of Bob Newhart',b'Bob Newhart'
Song Of The Year,b'Theme From Exodus',"b'Ernest Gold, songwriter (Ernest Gold)'"
"Best Vocal Performance Single Record Or Track, Female",b'Mack The Knife',b''
"Best Vocal Performance Album, Female",b'Mack The Knife - Ella In Berlin',b'Ella Fitzgerald'
"Best Vocal Performance Single Record Or Track, Male",b'Georgia On My Mind',b''
"Best Vocal Performance Album, Male",b'The Genius Of Ray Charles',b'Ray Charles'
Best Arrangement,b'Mr. Lucky',b'Henry Mancini'
Best Performance By A Band For Dancing,b'Dance With Basie',b''
Best Performance By An Orchestra,b'Mr. Lucky',b'Henry Mancini'
Best Performance By A Vocal Group (2 To 6),b'We Got Us',b'Eydie Gorme & Steve Lawrence'
Best Performance By A Chorus (7 Or More Persons),b'Songs Of The Cowboy',b'Norman Luboff Choir'
Best Jazz Performance Solo Or Small Group,b'West Side Story',b'Andr\xc3\xa9 Previn'
Best Jazz Performance Large Group,b'Blues And The Beat',b'Henry Mancini'
Best Classical Performance - Orchestra,"b'Bart\xc3\xb3k: Music For Strings, Percussion And Celeste'","b'Fritz Reiner, conductor'"
Best Classical Performance - Vocal Or Instrumental - Chamber Music,b'Conversations With The Guitar',"b'Laurindo Almeida, guitar'"
Best Classical Performance - Concerto Or Instrumental Soloist,b'Brahms: Piano Concerto No. 2 In B Flat',"b'Sviatoslav Richter, piano'"
Best Classical Performance - Instrumental Soloist Or Duo (Other Than With Orchestral Accompaniment),b'The Spanish Guitars Of Laurindo Almeida',"b'Laurindo Almeida, guitar'"
Best Classical Performance - Vocal Soloist,b'A Program Of Song - Leontyne Price Recital',"b'Leontyne Price, soprano'"
Best Classical Opera Production,b'Puccini: Turandot',"b'Erich Leinsdorf, conductor'"
Best Classical Performance - Choral (Including Oratorio),b'Handel: Messiah',"b'Thomas Beecham, conductor'"
Best Contemporary Classical Composition,b'Copland: Orchestral Suite From Tender Land Suite',"b'Aaron Copland, conductor'"
Best Sound Track Album Or Recording Of Music Score From Motion Picture Or Television,b'Exodus',b'Ernest Gold'
Best Sound Track Album Or Recording Of Original Cast From A Motion Picture Or Television,b'Can Can',b'Frank Sinatra And Original Cast'
Best Show Album (Original Cast),b'The Sound Of Music',b'Mary Martin And Original Broadway Cast'
Best Comedy Performance - Spoken Word,b'The Button-Down Mind Strikes Back!',b'Bob Newhart'
Best Comedy Performance (Musical),b'Jonathan And Darlene Edwards In Paris',b'Jonathan & Darlene Edwards (Jo Stafford And Paul Weston)'
Best Performance - Documentary Or Spoken Word (Other Than Comedy),b'FDR Speaks',b'(Franklin Delano Roosevelt)'
Best Performance By A Pop Single Artist,b'Georgia On My Mind',b'Ray Charles'
Best Country & Western Performance,b'El Paso',b'Marty Robbins'
Best Rhythm & Blues Performance,b'Let The Good Times Roll',b'Ray Charles'
Best Performance - Folk,b'Swing Dat Hammer',b'Harry Belafonte'
Best Album Created For Children,b"Let's All Sing With The Chipmunks","b'(David Seville And The Chipmunks) Ross Bagdasarian, Sr.'"
Best Engineering Contribution - Classical Recording,b'The Spanish Guitars Of Laurindo Almeida',"b'Laurindo Almeida, guitar'"
Best Engineering Contribution - Popular Recording,b'Ella Fitzgerald Sings The George And Ira Gershwin Songbook',b'Ella Fitzgerald'
Best Engineering Contribution - Novelty Recording,b'The Old Payola Roll Blues',b'Stan Freberg'
Best Album Cover,b'Latin A La Lee',b'Peggy Lee'
Best New Artist Of 1960,b'Bob Newhart',b'Bob Newhart'
Best Jazz Composition Of More Than Five Minutes Duration,b'Sketches Of Spain',b'Gil Evans And Miles Davis'
