,0,1,2,3,4,5,6
0,43.75,28.64,19.09,3.49,5.24,472.36,0.21
1,34,4.99,6.06,20.04,16.5,354.07,0.28
2,33.8,3.48,3.84,28.73,26.07,467.02,0.21
3,30,3.34,3.79,29.96,26.41,323.9,0.31
4,30,3.44,3.48,29.1,28.74,279.11,0.36
5,29.59,3.98,4.05,25.16,24.71,221.66,0.45
6,29.25,3.17,2.8,31.51,35.67,184.3,0.54
7,27.5,5.26,2.41,19.01,41.53,217.79,0.46
8,24.8,1.61,1.95,61.99,51.36,338.17,0.3
9,24.03,3.32,2.99,30.08,33.49,484.31,0.21
10,22.43,2.38,3.45,42.04,28.97,178.89,0.56
11,22.07,6.12,7.63,16.34,13.11,197.43,0.51
12,21.27,3.22,3.61,31.05,27.73,239.62,0.42
13,20.82,1.39,1.27,71.76,78.72,163.17,0.61
14,20.35,5.81,4.92,17.21,20.34,522.17,0.19
15,20.08,1.84,4.75,54.24,21.07,194.15,0.52
16,19.86,1.39,1.96,72.13,50.95,115.77,0.86
17,19.57,3.99,5.98,25.09,16.72,292.04,0.34
18,18.75,8,11.77,12.49,8.49,279.79,0.36
19,18.39,9.94,8.45,10.06,11.84,171.05,0.58
20,18.32,4.95,5.74,20.19,17.42,188.5,0.53
21,18.05,5.63,5.07,17.75,19.72,322.35,0.31
22,17.79,3.47,3.94,28.83,25.39,330.66,0.3
23,17.49,10.08,9.05,9.92,11.05,150.37,0.67
24,17.13,3.76,4.14,26.62,24.16,108.26,0.92
25,16.96,6.27,4.32,15.94,23.13,325.97,0.31
26,16.38,4.13,4.22,24.2,23.69,180.83,0.55
27,15.77,12.4,8.24,8.07,12.13,214.94,0.47
28,15.06,4.74,3.38,21.11,29.6,321.35,0.31
29,14.17,4.7,3.33,21.29,30.05,124.81,0.8
30,13.29,3.35,4.03,29.82,24.8,92.68,1.08
31,12.79,2.22,3.14,45.06,31.83,130.82,0.76
32,12.76,4.18,3.57,23.9,28,114.2,0.88
33,12.59,8.38,10.27,11.93,9.74,131.1,0.76
34,12.42,3.66,3.74,27.34,26.73,110.25,0.91
35,12.34,6.31,10.45,15.85,9.57,136.39,0.73
36,12.22,3.38,4.12,29.54,24.28,95.84,1.04
37,12.06,5.77,6.8,17.32,14.7,193.21,0.52
38,12.04,3.21,3.3,31.13,30.34,96.55,1.04
39,12,6.54,9.15,15.29,10.93,120.45,0.83
40,12,4.69,4.91,21.33,20.38,113.81,0.88
41,11.88,2.96,3.24,33.73,30.86,88.88,1.13
42,11.29,4.29,4.24,23.31,23.59,121.87,0.82
43,11.08,5.55,5.52,18.02,18.12,129.21,0.77
44,10.93,8.5,7.57,11.77,13.21,172.65,0.58
45,10.87,3.74,3.64,26.76,27.49,101.05,0.99
46,10.64,4.09,4.86,24.45,20.58,86.03,1.16
47,10.5,2.9,3.03,34.47,33.04,105.4,0.95
48,10.41,3.09,3.69,32.37,27.08,59.11,1.69
49,10.19,5.11,6.12,19.56,16.35,69.99,1.43
50,10,9.05,9.35,11.06,10.69,180.59,0.55
51,9.98,12.03,20.73,8.31,4.82,184.89,0.54
52,9.57,4.89,5.4,20.44,18.51,265.33,0.38
53,9.49,4.93,5.62,20.3,17.8,95.26,1.05
54,9.46,3.51,4.15,28.5,24.1,110.38,0.91
55,9.42,6.51,7.66,15.37,13.06,165.78,0.6
56,9.41,8.89,17.18,11.24,5.82,239.88,0.42
57,9.28,7.26,8.26,13.78,12.1,92.29,1.08
58,9.2,2.38,2.86,41.97,34.94,66.3,1.51
59,8.98,4.92,6.08,20.32,16.44,128.2,0.78
60,8.26,3.87,3.79,25.84,26.36,63.1,1.58
61,8.19,4.47,4.91,22.37,20.37,76.21,1.31
62,8.12,10.09,11.78,9.91,8.49,168.19,0.59
63,8,7.59,6.73,13.17,14.86,140.81,0.71
64,7.97,4.05,3.55,24.67,28.2,69.99,1.43
65,7.95,7.79,4.89,12.84,20.45,73.61,1.36
66,7.85,3.31,3.92,30.25,25.5,49.65,2.01
67,7.77,4.2,4.58,23.8,21.85,53.91,1.85
68,7.55,9.1,8.13,10.99,12.3,130.56,0.77
69,7.4,4.62,4.84,21.63,20.67,55.98,1.79
70,7.37,5.55,6.42,18.01,15.58,83.59,1.2
71,7.29,7.01,5.09,14.27,19.64,364.6,0.27
72,7.09,6.9,4.96,14.49,20.18,62.86,1.59
73,6.94,4.16,4.5,24.04,22.22,65.34,1.53
74,6.89,7.05,7.66,14.19,13.05,149.08,0.67
75,6.71,8.6,8.24,11.63,12.14,84.47,1.18
76,6.7,4.64,6.8,21.54,14.7,47.03,2.13
77,6.58,4.64,4.73,21.54,21.16,53.39,1.87
78,6.56,4.31,4.4,23.19,22.73,51.91,1.93
79,6.42,7.34,8.88,13.62,11.26,75.61,1.32
80,6.02,9.71,9.55,10.3,10.47,79.58,1.26
81,5.9,3.58,5.6,27.9,17.86,41.03,2.44
82,5.89,4.77,4.24,20.96,23.59,46.61,2.15
83,5.82,3.94,4.61,25.36,21.71,38.24,2.62
84,5.72,3.5,4.68,28.59,21.35,43.18,2.32
85,5.67,7.12,6.13,14.05,16.31,96.89,1.03
86,5.64,5.38,5.59,18.58,17.89,42.91,2.33
87,5.6,5.64,5.19,17.73,19.26,43.27,2.31
88,5.56,8.65,7.49,11.56,13.35,51.73,1.93
89,5.43,6.23,26.2,16.05,3.82,85.18,1.17
90,5.22,12.03,11.83,8.31,8.46,54.39,1.84
91,5.09,4.26,4.92,23.5,20.32,36.93,2.71
92,4.87,12.49,11.08,8.01,9.02,64.29,1.56
93,4.73,12.86,12.17,7.77,8.21,51.02,1.96
94,4.68,3.18,5.55,31.43,18,28.96,3.45
95,4.53,9.38,7.82,10.67,12.78,57.26,1.75
96,4.19,6.42,7.51,15.57,13.32,62.53,1.6
97,4.09,6.62,9.1,15.09,10.98,34.43,2.9
98,3.85,11.92,11.85,8.39,8.44,50.82,1.97
99,3.56,9.45,9.16,10.59,10.91,39.22,2.55
100,3.48,10.81,10.31,9.25,9.7,30.99,3.23
101,2.99,10.86,9.83,9.21,10.17,55.32,1.81
102,2.82,10.01,12.54,9.99,7.97,22.86,4.38
103,2.3,11.63,13.1,8.6,7.63,18.18,5.5
104,43.75,28.64,19.09,3.49,5.24,472.36,0.21
105,34,4.99,6.06,20.04,16.5,354.07,0.28
106,33.8,3.48,3.84,28.73,26.07,467.02,0.21
107,30,3.34,3.79,29.96,26.41,323.9,0.31
108,30,3.44,3.48,29.1,28.74,279.11,0.36
109,29.59,3.98,4.05,25.16,24.71,221.66,0.45
110,29.25,3.17,2.8,31.51,35.67,184.3,0.54
111,27.5,5.26,2.41,19.01,41.53,217.79,0.46
112,24.8,1.61,1.95,61.99,51.36,338.17,0.3
113,24.03,3.32,2.99,30.08,33.49,484.31,0.21
114,22.43,2.38,3.45,42.04,28.97,178.89,0.56
115,22.07,6.12,7.63,16.34,13.11,197.43,0.51
116,21.27,3.22,3.61,31.05,27.73,239.62,0.42
117,20.82,1.39,1.27,71.76,78.72,163.17,0.61
118,20.35,5.81,4.92,17.21,20.34,522.17,0.19
119,20.08,1.84,4.75,54.24,21.07,194.15,0.52
120,19.86,1.39,1.96,72.13,50.95,115.77,0.86
121,19.57,3.99,5.98,25.09,16.72,292.04,0.34
122,18.75,8,11.77,12.49,8.49,279.79,0.36
123,18.39,9.94,8.45,10.06,11.84,171.05,0.58
124,18.32,4.95,5.74,20.19,17.42,188.5,0.53
125,18.05,5.63,5.07,17.75,19.72,322.35,0.31
126,17.79,3.47,3.94,28.83,25.39,330.66,0.3
127,17.49,10.08,9.05,9.92,11.05,150.37,0.67
128,17.13,3.76,4.14,26.62,24.16,108.26,0.92
129,16.96,6.27,4.32,15.94,23.13,325.97,0.31
130,16.38,4.13,4.22,24.2,23.69,180.83,0.55
131,15.77,12.4,8.24,8.07,12.13,214.94,0.47
132,15.06,4.74,3.38,21.11,29.6,321.35,0.31
133,14.17,4.7,3.33,21.29,30.05,124.81,0.8
134,13.29,3.35,4.03,29.82,24.8,92.68,1.08
135,12.79,2.22,3.14,45.06,31.83,130.82,0.76
136,12.76,4.18,3.57,23.9,28,114.2,0.88
137,12.59,8.38,10.27,11.93,9.74,131.1,0.76
138,12.42,3.66,3.74,27.34,26.73,110.25,0.91
139,12.34,6.31,10.45,15.85,9.57,136.39,0.73
140,12.22,3.38,4.12,29.54,24.28,95.84,1.04
141,12.06,5.77,6.8,17.32,14.7,193.21,0.52
142,12.04,3.21,3.3,31.13,30.34,96.55,1.04
143,12,6.54,9.15,15.29,10.93,120.45,0.83
144,12,4.69,4.91,21.33,20.38,113.81,0.88
145,11.88,2.96,3.24,33.73,30.86,88.88,1.13
146,11.29,4.29,4.24,23.31,23.59,121.87,0.82
147,11.08,5.55,5.52,18.02,18.12,129.21,0.77
148,10.93,8.5,7.57,11.77,13.21,172.65,0.58
149,10.87,3.74,3.64,26.76,27.49,101.05,0.99
150,10.64,4.09,4.86,24.45,20.58,86.03,1.16
151,10.5,2.9,3.03,34.47,33.04,105.4,0.95
152,10.41,3.09,3.69,32.37,27.08,59.11,1.69
153,10.19,5.11,6.12,19.56,16.35,69.99,1.43
154,10,9.05,9.35,11.06,10.69,180.59,0.55
155,9.98,12.03,20.73,8.31,4.82,184.89,0.54
156,9.57,4.89,5.4,20.44,18.51,265.33,0.38
157,9.49,4.93,5.62,20.3,17.8,95.26,1.05
158,9.46,3.51,4.15,28.5,24.1,110.38,0.91
159,9.42,6.51,7.66,15.37,13.06,165.78,0.6
160,9.41,8.89,17.18,11.24,5.82,239.88,0.42
161,9.28,7.26,8.26,13.78,12.1,92.29,1.08
162,9.2,2.38,2.86,41.97,34.94,66.3,1.51
163,8.98,4.92,6.08,20.32,16.44,128.2,0.78
164,8.26,3.87,3.79,25.84,26.36,63.1,1.58
165,8.19,4.47,4.91,22.37,20.37,76.21,1.31
166,8.12,10.09,11.78,9.91,8.49,168.19,0.59
167,8,7.59,6.73,13.17,14.86,140.81,0.71
168,7.97,4.05,3.55,24.67,28.2,69.99,1.43
169,7.95,7.79,4.89,12.84,20.45,73.61,1.36
170,7.85,3.31,3.92,30.25,25.5,49.65,2.01
171,7.77,4.2,4.58,23.8,21.85,53.91,1.85
172,7.55,9.1,8.13,10.99,12.3,130.56,0.77
173,7.4,4.62,4.84,21.63,20.67,55.98,1.79
174,7.37,5.55,6.42,18.01,15.58,83.59,1.2
175,7.29,7.01,5.09,14.27,19.64,364.6,0.27
