,0,1,2,3,4,5,6
0,31.13,1.86,10.02,53.7,9.98,649.36,0.15
1,30.49,3.95,3.15,25.33,31.75,283.67,0.35
2,30.09,2.67,2.77,37.49,36.08,192.99,0.52
3,26.84,8.47,2.95,11.81,33.92,317.96,0.31
4,26.62,10.77,13.45,9.28,7.44,670.38,0.15
5,26.42,2.78,3,35.94,33.33,230.62,0.43
6,25.44,5.3,1.66,18.88,60.3,336.09,0.3
7,24.97,1.4,1.8,71.43,55.54,152.28,0.66
8,23.92,5.17,7.64,19.33,13.09,285.6,0.35
9,22.23,12.49,9.27,8.01,10.79,333.43,0.3
10,22.13,2.21,2.41,45.26,41.48,228.83,0.44
11,21.41,3.42,3.89,29.24,25.69,133.27,0.75
12,21.11,10.78,7.85,9.28,12.74,232.05,0.43
13,20.91,2.7,3.4,36.98,29.38,161.45,0.62
14,20.78,5.05,5.53,19.81,18.09,468.12,0.21
15,20.76,3.93,3.22,25.45,31.06,179.53,0.56
16,19.74,2.61,2.84,38.26,35.16,257.35,0.39
17,18.93,6.24,5.74,16.02,17.43,217.37,0.46
18,18.52,3.1,2.65,32.25,37.7,198.55,0.5
19,17.38,5.96,5.88,16.78,17.02,349.26,0.29
20,17.07,5.18,5.68,19.32,17.59,267.28,0.37
21,17.07,2.81,3.15,35.59,31.78,155.29,0.64
22,16.75,8.34,4.12,11.99,24.25,287.29,0.35
23,16.7,4.23,4.32,23.65,23.14,200.64,0.5
24,16.7,6.4,7.2,15.62,13.89,234.72,0.43
25,16.36,5.46,5.23,18.33,19.13,545.46,0.18
26,16.27,6.03,6.5,16.59,15.39,189.76,0.53
27,16.21,4,5.73,25,17.46,143.71,0.7
28,16.19,7.7,9,12.99,11.11,185.65,0.54
29,16.12,4.76,3.6,20.99,27.78,135.99,0.74
30,16.07,3.06,3.23,32.71,30.97,170.18,0.59
31,15.38,3.46,3.51,28.93,28.47,148.07,0.68
32,15.37,11.96,7.67,8.36,13.04,174.95,0.57
33,15.17,6.78,6.6,14.76,15.16,208.57,0.48
34,14.67,7.02,6.42,14.24,15.57,167.68,0.6
35,14.67,6.8,6.74,14.7,14.83,277.47,0.36
36,14.6,6.87,6.46,14.56,15.48,209.95,0.48
37,14.58,3.5,5.33,28.59,18.78,138.43,0.72
38,14.35,6.07,5.51,16.47,18.15,188.58,0.53
39,14.32,3.03,3.54,33.02,28.26,218.22,0.46
40,14.29,7.89,3.7,12.67,26.99,226.12,0.44
41,14.11,6.53,4.88,15.32,20.5,405.98,0.25
42,13.39,6.55,5.33,15.28,18.75,197.43,0.51
43,12.87,4.12,4.1,24.25,24.42,87.49,1.14
44,12.73,5.86,5.55,17.08,18.01,186.69,0.54
45,12.5,3.16,3.1,31.69,32.28,123.72,0.81
46,12.48,3.08,3.42,32.51,29.23,109.97,0.91
47,12.43,8.36,1.98,11.96,50.4,159.07,0.63
48,12.19,3.85,4.63,25.94,21.59,83.51,1.2
49,11.81,4.8,4.84,20.84,20.67,108.96,0.92
50,11.69,2.82,3.56,35.46,28.06,94.06,1.06
51,11.65,4.21,4.35,23.76,22.98,78.12,1.28
52,11.59,3.63,3.75,27.58,26.64,231.65,0.43
53,11.45,6,7.8,16.68,12.82,171.89,0.58
54,11.33,7.49,7.94,13.35,12.59,132.27,0.76
55,11.23,5.59,5.92,17.89,16.9,108.51,0.92
56,11.01,3.34,3.76,29.95,26.61,83.32,1.2
57,10.9,3.74,4.29,26.75,23.31,194.01,0.52
58,10.85,5.92,5.85,16.88,17.09,109.26,0.92
59,10.84,4.4,5.34,22.71,18.74,87.73,1.14
60,10.79,11.56,6.98,8.65,14.33,88.77,1.13
61,10.74,10.74,3.43,9.31,29.17,205.19,0.49
62,10.72,3.36,3.83,29.76,26.08,68.86,1.45
63,10.62,3.01,3.25,33.23,30.78,84.14,1.19
64,10.61,3.62,3.78,27.61,26.43,79.56,1.26
65,10.59,3.97,4.75,25.16,21.05,71.37,1.4
66,10.56,4.42,4.64,22.62,21.55,83.11,1.2
67,10.33,6.15,5.41,16.26,18.48,94.54,1.06
68,10.06,3.3,3.91,30.33,25.55,124.36,0.8
69,10.01,18.35,3.4,5.45,29.38,95.48,1.05
70,10,8.24,7.84,12.14,12.75,153.6,0.65
71,9.7,3.18,3.92,31.44,25.48,66.73,1.5
72,9.67,3.57,3.54,27.99,28.21,75.32,1.33
73,9.6,2.95,3.66,33.95,27.3,64.32,1.55
74,9.56,3.95,4.48,25.34,22.32,66.42,1.51
75,9.42,5.54,6,18.06,16.66,92.96,1.08
76,9.29,7.17,7.55,13.95,13.25,101.72,0.98
77,9.25,2.82,3.18,35.46,31.49,61.85,1.62
78,9.24,3.58,3.32,27.94,30.09,55.84,1.79
79,8.89,8.38,9.69,11.93,10.32,93.25,1.07
80,8.63,4.11,4.58,24.32,21.82,63.43,1.58
81,8.58,4.66,5.1,21.47,19.6,84.03,1.19
82,8.58,6.92,7.39,14.46,13.54,87.47,1.14
83,8.58,6.23,6.64,16.04,15.05,61.09,1.64
84,8.35,4.6,4.24,21.75,23.57,64.84,1.54
85,8.32,5.68,6.42,17.62,15.57,61.94,1.61
86,8.31,5.27,4.8,18.98,20.85,50.43,1.98
87,7.89,9.32,10.82,10.73,9.24,69.39,1.44
88,7.74,4.64,4.87,21.56,20.52,54.74,1.83
89,7.38,4.28,4.28,23.39,23.38,63.99,1.56
90,7.28,3.47,3.56,28.84,28.06,44,2.27
