,0
0,Morocco
1,Pakistan
2,Belarus
3,Montenegro
4,Russia
5,Romania
6,Lithuania
7,Serbia
8,Latvia
9,Ukraine
10,China
11,Spain
12,Hungary
13,South Korea
14,Thailand
15,Indonesia
16,Paraguay
17,Albania
18,Bosnia And Herzegovina
19,Slovakia
20,Czech Republic
21,Iran
22,Singapore
23,Italy
24,Estonia
25,Bulgaria
26,Japan
27,Poland
28,Croatia
29,France
30,Greece
31,United Kingdom
32,Argentina
33,Portugal
34,Malaysia
35,India
36,Jordan
37,Israel
38,Sri Lanka
39,Colombia
40,United Arab Emirates
41,Norway
42,Denmark
43,Ireland
44,Venezuela
45,Mexico
46,Kyrgyzstan
47,Peru
48,Netherlands
49,Australia
50,Brazil
51,Finland
52,Canada
53,Ecuador
54,Bahrain
55,Turkey
56,Switzerland
57,Austria
58,Cyprus
59,South Africa
60,Bangladesh
61,Honduras
62,Germany
63,Belgium
64,Sweden
65,Chile
66,Dominican Republic
67,United States
68,Morocco
69,Pakistan
70,Belarus
71,Montenegro
72,Russia
73,Romania
74,Lithuania
75,Serbia
76,Latvia
77,Ukraine
78,China
79,Spain
80,Hungary
81,South Korea
82,Thailand
83,Indonesia
84,Paraguay
85,Albania
86,Bosnia And Herzegovina
87,Slovakia
88,Czech Republic
89,Iran
90,Singapore
91,Italy
92,Estonia
93,Bulgaria
94,Japan
95,Poland
96,Croatia
97,France
98,Greece
99,United Kingdom
100,Argentina
101,Portugal
102,Malaysia
103,India
104,Jordan
105,Israel
106,Sri Lanka
107,Colombia
108,United Arab Emirates
109,Norway
110,Denmark
111,Ireland
112,Venezuela
113,Mexico
114,Kyrgyzstan
115,Peru
116,Netherlands
117,Australia
118,Brazil
119,Finland
120,Canada
121,Ecuador
122,Bahrain
123,Turkey
124,Switzerland
125,Austria
126,Cyprus
127,South Africa
128,Bangladesh
129,Honduras
130,Germany
131,Belgium
132,Sweden
133,Chile
134,Dominican Republic
135,United States
136,Morocco
137,Pakistan
138,Belarus
139,Montenegro
140,Russia
141,Romania
142,Lithuania
143,Serbia
144,Latvia
145,Ukraine
146,China
147,Spain
148,Hungary
149,South Korea
150,Thailand
151,Indonesia
152,Paraguay
153,Albania
154,Bosnia And Herzegovina
155,Slovakia
156,Czech Republic
157,Iran
158,Singapore
159,Italy
160,Estonia
161,Bulgaria
162,Japan
163,Poland
164,Croatia
165,France
166,Greece
167,United Kingdom
168,Argentina
169,Portugal
170,Malaysia
171,India
172,Jordan
173,Israel
174,Sri Lanka
175,Colombia
176,United Arab Emirates
177,Norway
178,Denmark
179,Ireland
180,Venezuela
181,Mexico
182,Kyrgyzstan
183,Peru
184,Netherlands
185,Australia
186,Brazil
187,Finland
188,Canada
189,Ecuador
190,Bahrain
191,Turkey
192,Switzerland
193,Austria
194,Cyprus
195,South Africa
196,Bangladesh
197,Honduras
198,Germany
199,Belgium
200,Sweden
201,Chile
202,Dominican Republic
203,United States
