,0,1,2,3,4,5,6
168,11.82,3.94,5.48,25.38,18.26,661.87,0.15
169,11.57,3.76,3.55,26.63,28.15,66.34,1.51
170,11.27,2.3,3.75,43.49,26.69,81.92,1.22
171,11.02,3.84,3.77,26.05,26.53,120.72,0.83
172,10.92,8.95,9.34,11.17,10.71,115.82,0.86
173,10.88,4.2,7.74,23.81,12.93,75.72,1.32
174,9.82,5.4,7.35,18.51,13.61,91.37,1.09
175,9.52,4.19,5.89,23.85,16.99,212.24,0.47
176,8.61,5.9,7.91,16.95,12.64,89.71,1.11
177,8.13,3.92,4.34,25.49,23.06,61.71,1.62
178,8,5,4.71,19.99,21.21,60.72,1.65
179,7.66,3.77,3.83,26.54,26.09,71.3,1.4
180,7.64,11.83,13.76,8.45,7.27,100.92,0.99
181,7.43,6.33,5.48,15.81,18.26,230.8,0.43
182,7.19,10.25,16.19,9.76,6.18,101.05,0.99
183,6.72,8.67,7.43,11.54,13.46,202.09,0.49
184,6.5,5.91,5.38,16.93,18.58,50.39,1.98
185,6.3,3.07,4.8,32.56,20.82,58.06,1.72
186,6.29,5.39,6.85,18.55,14.59,64.03,1.56
187,6.22,3.28,4.26,30.52,23.48,42.33,2.36
188,6.2,4.58,5.33,21.81,18.77,48.07,2.08
189,5.8,10.38,9.96,9.64,10.04,74.26,1.35
190,5.74,14.4,14.22,6.94,7.03,59.79,1.67
191,5.56,6.47,5.9,15.46,16.94,75.85,1.32
192,5.41,4.56,4.47,21.94,22.37,39.34,2.54
193,5.23,6,5.61,16.66,17.84,42.78,2.34
194,5.13,4.35,4.18,23,23.94,38.94,2.57
195,5.1,12.27,7.19,8.15,13.91,57.08,1.75
196,5.03,5.56,9.39,18,10.65,75.1,1.33
197,4.76,11.6,9.4,8.62,10.64,62.92,1.59
198,4.32,4.54,4.14,22.02,24.18,30.74,3.25
199,4.28,7.75,7,12.9,14.29,33.86,2.95
200,4.19,3.4,4.32,29.38,23.17,33.85,2.95
201,4.06,10.46,5.93,9.56,16.85,50.34,1.99
202,3.54,11.27,11.62,8.88,8.61,49.79,2.01
203,2.68,8.1,10.58,12.34,9.45,21.95,4.56
