,0,1,2,3,4,5,6
0,202.07,3.51,3.18,28.48,31.42,4469.07,0.02
1,37.76,3.85,5.35,25.97,18.7,374.3,0.27
2,36.15,2.25,2.23,44.35,44.81,224.85,0.44
3,26.76,4.52,7.03,22.1,14.22,285.55,0.35
4,24.43,3.8,3.54,26.29,28.27,212.03,0.47
5,24.32,7.44,6.24,13.44,16.03,292.43,0.34
6,23.29,2.23,2.74,44.83,36.49,189.71,0.53
7,22.87,5.3,6.01,18.88,16.63,512.06,0.2
8,21.76,2.66,2.96,37.6,33.8,177.68,0.56
9,21.63,2.75,3.65,36.41,27.39,134.33,0.74
10,21.03,4.67,4.94,21.41,20.26,247.68,0.4
11,20.35,5.47,5.51,18.28,18.15,232.95,0.43
12,19.7,4.47,4.06,22.38,24.62,202.18,0.49
13,19.43,4.25,4.3,23.52,23.28,283.62,0.35
14,18.73,5.31,4.82,18.85,20.75,587.51,0.17
15,17.87,3.14,3.33,31.88,30.07,142.63,0.7
16,17.49,4.91,4.47,20.38,22.38,238.64,0.42
17,16.96,4.01,4.02,24.92,24.85,224.6,0.45
18,16.91,3.75,3.54,26.69,28.29,162.87,0.61
19,16.46,6.24,5.45,16.01,18.34,204.59,0.49
20,15.77,9.78,13.36,10.22,7.49,203.47,0.49
21,15.5,6.06,6.58,16.51,15.19,227.88,0.44
22,15.27,3.53,3.7,28.35,27.06,165.12,0.61
23,14.67,3.71,3.57,26.93,28.04,132.83,0.75
24,14.43,3.96,5,25.22,20.02,137.95,0.72
25,14.4,4.99,5.01,20.04,19.98,119.43,0.84
26,14.29,6.27,5.21,15.94,19.19,213.1,0.47
27,14.19,3.9,4.14,25.62,24.18,89.18,1.12
28,14.04,3.01,3.15,33.24,31.78,81.89,1.22
29,13.95,5.36,6.27,18.67,15.94,126.66,0.79
30,13.93,3.94,3.7,25.37,27.01,84.38,1.19
31,13.55,5.75,6.31,17.39,15.85,193.91,0.52
32,13.5,6.1,8.12,16.39,12.31,275.34,0.36
33,12.89,3.25,3.48,30.81,28.71,181.3,0.55
34,12.87,1.54,1.71,64.91,58.64,78.76,1.27
35,12.68,2.21,2.75,45.15,36.32,72.76,1.37
36,12.6,7.02,6.51,14.24,15.36,164.37,0.61
37,12.56,6.41,5.17,15.61,19.35,150.54,0.66
38,12.53,4.25,4.83,23.54,20.72,113.68,0.88
39,12.39,2.69,3.56,37.18,28.06,82.64,1.21
40,12.38,6.23,5.82,16.06,17.18,212.01,0.47
41,12.38,2.04,2.51,49.1,39.9,85.47,1.17
42,12.35,7.63,7.45,13.1,13.43,158.43,0.63
43,12.25,10.29,9.89,9.72,10.11,102.41,0.98
44,12.09,4.08,3.81,24.51,26.26,156.97,0.64
45,12.07,3.77,3.9,26.53,25.64,333.23,0.3
46,11.82,5.28,5.16,18.96,19.37,94.86,1.05
47,11.77,2.52,3.22,39.66,31.08,71.27,1.4
48,11.58,3,3.67,33.29,27.22,73.86,1.35
49,11.35,3.41,3.31,29.36,30.18,104.89,0.95
50,11.2,5.43,5.97,18.43,16.76,97.32,1.03
51,10.91,3.31,3.69,30.24,27.07,89.21,1.12
52,10.87,3.45,3.54,28.98,28.27,71.94,1.39
53,10.79,4.89,4.76,20.43,20.99,83.3,1.2
54,10.7,4.17,4.61,24.01,21.71,65.37,1.53
55,10.67,4.42,5.06,22.64,19.77,83.59,1.2
56,10.66,7.18,7.74,13.93,12.93,138.09,0.72
57,10.54,4.11,3.95,24.33,25.3,68.75,1.45
58,10.39,4.77,5.05,20.96,19.8,68.49,1.46
59,10.28,3.08,3.81,32.44,26.24,123.44,0.81
60,10.12,4.66,5.25,21.44,19.04,73.08,1.37
61,10,4.16,4.4,24.02,22.75,69.1,1.45
62,9.85,5.62,5.57,17.78,17.94,61.59,1.62
63,9.66,3.63,3.78,27.55,26.46,59.08,1.69
64,9.65,6.03,6.76,16.58,14.79,89.13,1.12
65,9.53,4.07,4.05,24.6,24.66,72.87,1.37
66,9.24,4.9,5.05,20.41,19.82,70.87,1.41
67,9.07,5.36,5.68,18.65,17.59,77.24,1.29
68,8.87,5.43,6.28,18.41,15.92,121.45,0.82
69,8.85,5.95,6.08,16.81,16.46,60.87,1.64
70,8.74,5.89,6.14,16.98,16.28,61.42,1.63
71,8.52,5.38,5.93,18.6,16.86,56.24,1.78
72,8.52,7.16,6.56,13.96,15.25,106.17,0.94
73,8.34,4.2,4.21,23.82,23.77,60.26,1.66
74,8.33,4.14,4.2,24.15,23.8,62.48,1.6
75,8.26,4.38,5.23,22.81,19.13,52.02,1.92
76,8.2,10.09,9.24,9.91,10.83,100.9,0.99
77,8.2,4.71,4.82,21.21,20.76,52.39,1.91
78,8.14,4.99,5.92,20.04,16.9,63.92,1.56
79,8.05,7.25,8.56,13.8,11.68,94.38,1.06
80,7.96,6.48,7.23,15.43,13.84,76.63,1.3
81,7.9,4.18,4.51,23.94,22.16,50.95,1.96
82,7.79,7.04,8.25,14.2,12.12,103.64,0.96
83,7.6,3.74,4.6,26.72,21.76,44.51,2.25
84,7.46,3.75,4.09,26.68,24.47,45.91,2.18
85,7.02,6.02,6.91,16.61,14.48,50.79,1.97
86,6.96,5.82,5.92,17.18,16.88,44.69,2.24
87,6.94,6.85,6.31,14.6,15.85,86.58,1.16
88,6.4,5.47,6.16,18.29,16.23,42.14,2.37
89,6.19,9.49,9.19,10.54,10.88,47.11,2.12
90,6.15,8.07,8.37,12.39,11.95,57.7,1.73
91,6.11,6.95,6.87,14.4,14.55,53.86,1.86
92,5.6,9.7,10.65,10.3,9.39,42.07,2.38
93,5.21,4.9,5.14,20.42,19.45,39.85,2.51
94,5.11,7.03,6.54,14.22,15.28,40.14,2.49
95,3.9,7.1,7.13,14.08,14.03,26.6,3.76
96,3.58,9.51,10.41,10.51,9.6,41.97,2.38
97,3.26,11.23,12.24,8.9,8.17,23.53,4.25
98,2.85,7.29,8.01,13.72,12.49,21.07,4.75
99,202.07,3.51,3.18,28.48,31.42,4469.07,0.02
100,37.76,3.85,5.35,25.97,18.7,374.3,0.27
101,36.15,2.25,2.23,44.35,44.81,224.85,0.44
102,26.76,4.52,7.03,22.1,14.22,285.55,0.35
103,24.43,3.8,3.54,26.29,28.27,212.03,0.47
