,0,1,2,3,4,5,6
0,40.64,2.35,2.01,42.51,49.87,571.3,0.18
1,35.94,2.7,2.95,37.1,33.87,445.13,0.22
2,25.38,3.61,4,27.68,24.98,162.85,0.61
3,25,3.43,3.42,29.19,29.26,214.93,0.47
4,24.76,5.37,3.5,18.61,28.59,267.29,0.37
5,24.17,4,4.17,25.02,24.01,568.48,0.18
6,23.65,2.86,3.42,34.93,29.26,150.36,0.67
7,23.38,3.07,2.25,32.55,44.52,243.52,0.41
8,23.23,8.39,7.48,11.92,13.37,356.82,0.28
9,22.92,7.72,6.29,12.96,15.9,577.01,0.17
10,22.9,5.05,8.34,19.81,11.99,247.26,0.4
11,20.95,7.78,11.25,12.86,8.89,210.31,0.48
12,19.83,5.03,5.68,19.9,17.62,199.02,0.5
13,19.79,1.44,2.07,69.51,48.33,229.23,0.44
14,18.84,4.9,5.54,20.43,18.06,272.97,0.37
15,18.41,4.25,5.33,23.53,18.76,158.31,0.63
16,18.34,3.32,3.67,30.12,27.24,318.58,0.31
17,17.67,5.62,4.45,17.79,22.49,151.88,0.66
18,17.4,3.15,3.46,31.76,28.94,174.6,0.57
19,17.25,3.34,3.61,29.9,27.68,199.78,0.5
20,17.18,2.38,2.67,42.05,37.51,159.84,0.63
21,16.35,5.13,4.03,19.5,24.79,202.55,0.49
22,15.52,5.52,5.31,18.13,18.82,273.26,0.37
23,15.51,5.35,6.17,18.68,16.2,287.33,0.35
24,15.51,1.59,6.59,62.83,15.17,94.18,1.06
25,15.12,3.03,3.71,33.02,26.96,163.3,0.61
26,15.04,3.27,5.64,30.56,17.73,145.38,0.69
27,14.89,4.83,4.93,20.72,20.27,196.69,0.51
28,14.47,22.69,12.89,4.41,7.76,179.27,0.56
29,14.33,4.82,4.66,20.74,21.48,143.87,0.7
30,13.77,8.17,8.49,12.24,11.77,205.55,0.49
31,13.67,3.82,3.94,26.19,25.37,117.52,0.85
32,13.33,4.8,4.95,20.83,20.22,157.06,0.64
33,13.33,7.59,6.93,13.17,14.43,143.96,0.69
34,13.05,9.01,4.25,11.1,23.55,161.63,0.62
35,13.04,4.16,4.85,24.05,20.6,145.9,0.69
36,13,2.95,2.88,33.87,34.77,120.95,0.83
37,13,3.95,4.82,25.29,20.74,111.76,0.89
38,12.81,7.81,8.38,12.81,11.93,199.64,0.5
39,12.59,3.05,3.83,32.74,26.12,99.7,1
40,12.22,4.04,7.62,24.77,13.12,136.71,0.73
41,12.1,3.81,3.87,26.25,25.82,100.88,0.99
42,12,6.55,6.43,15.28,15.55,168.71,0.59
43,11.8,4.14,6.64,24.18,15.07,224.09,0.45
44,11.7,2.69,3.31,37.17,30.24,108.83,0.92
45,11.56,3.16,3.51,31.61,28.49,91.57,1.09
46,11.54,6.9,5.68,14.5,17.59,148.39,0.67
47,11.53,8.43,5.3,11.87,18.88,120.03,0.83
48,11.52,2.22,2.71,45.09,36.85,91.22,1.1
