,0
0,Georgia
1,Cambodia
2,Singapore
3,China
4,Indonesia
5,Belarus
6,Hong Kong
7,Mauritius
8,Venezuela
9,Ghana
10,Syria
11,Azerbaijan
12,Morocco
13,Nepal
14,Moldova
15,Lebanon
16,Pakistan
17,Thailand
18,Serbia
19,Macedonia
20,Algeria
21,Philippines
22,Ukraine
23,Iran
24,Taiwan
25,Montenegro
26,Albania
27,Colombia
28,Ethiopia
29,Romania
30,Vietnam
31,Lithuania
32,Brazil
33,Ecuador
34,Sri Lanka
35,Peru
36,Croatia
37,Poland
38,Kazakhstan
39,Italy
40,Tunisia
41,Slovenia
42,Russia
43,Nigeria
44,Bosnia And Herzegovina
45,Greece
46,Uruguay
47,Trinidad And Tobago
48,South Korea
49,Egypt
50,Bangladesh
51,Dominican Republic
52,Iraq
53,Hungary
54,Czech Republic
55,Israel
56,Panama
57,Argentina
58,Bulgaria
59,Latvia
60,India
61,Spain
62,Kenya
63,Finland
64,Estonia
65,Chile
66,Bolivia
67,Jordan
68,Austria
69,Sweden
70,France
71,Australia
72,Portugal
73,Slovakia
74,Malta
75,Norway
76,Japan
77,Denmark
78,Belgium
79,United Kingdom
80,Luxembourg
81,Malaysia
82,New Zealand
83,Costa Rica
84,Netherlands
85,Cyprus
86,Switzerland
87,Turkey
88,Iceland
89,Kuwait
90,Jamaica
91,Mexico
92,Qatar
93,Ireland
94,Canada
95,Germany
96,United Arab Emirates
97,Puerto Rico
98,Bahrain
99,South Africa
100,Saudi Arabia
101,Oman
102,United States
103,Georgia
104,Cambodia
105,Singapore
106,China
107,Indonesia
108,Belarus
109,Hong Kong
110,Mauritius
111,Venezuela
112,Ghana
113,Syria
114,Azerbaijan
115,Morocco
116,Nepal
117,Moldova
118,Lebanon
119,Pakistan
120,Thailand
121,Serbia
122,Macedonia
123,Algeria
124,Philippines
125,Ukraine
126,Iran
127,Taiwan
128,Montenegro
129,Albania
130,Colombia
131,Ethiopia
132,Romania
133,Vietnam
134,Lithuania
135,Brazil
136,Ecuador
137,Sri Lanka
138,Peru
139,Croatia
140,Poland
141,Kazakhstan
142,Italy
143,Tunisia
144,Slovenia
145,Russia
146,Nigeria
147,Bosnia And Herzegovina
148,Greece
149,Uruguay
150,Trinidad And Tobago
151,South Korea
152,Egypt
153,Bangladesh
154,Dominican Republic
155,Iraq
156,Hungary
157,Czech Republic
158,Israel
159,Panama
160,Argentina
161,Bulgaria
162,Latvia
163,India
164,Spain
165,Kenya
166,Finland
167,Estonia
168,Chile
169,Bolivia
170,Jordan
171,Austria
172,Sweden
173,France
174,Australia
175,Portugal
176,Slovakia
177,Malta
178,Norway
179,Japan
180,Denmark
181,Belgium
182,United Kingdom
183,Luxembourg
184,Malaysia
185,New Zealand
186,Costa Rica
187,Netherlands
188,Cyprus
189,Switzerland
190,Turkey
191,Iceland
192,Kuwait
193,Jamaica
194,Mexico
195,Qatar
196,Ireland
197,Canada
198,Germany
199,United Arab Emirates
200,Puerto Rico
201,Bahrain
202,South Africa
203,Saudi Arabia
204,Oman
205,United States
