,0,1,2,3,4,5,6
0,37.57,1.95,2.14,51.16,46.74,239.94,0.42
1,34.09,3.66,6.39,27.33,15.65,374.92,0.27
2,29.93,10.62,14.47,9.42,6.91,737.47,0.14
3,29.79,6.28,6.05,15.91,16.52,336.12,0.3
4,26.16,4.86,5.09,20.59,19.64,611.79,0.16
5,24.98,2.53,2.64,39.57,37.84,210.65,0.47
6,24.38,4.34,3.59,23.05,27.87,214.23,0.47
7,24.27,4.81,5.53,20.78,18.1,236.41,0.42
8,23.17,2.74,3.19,36.52,31.33,144.38,0.69
9,22.72,1.2,1.5,83.3,66.83,139.85,0.72
10,21.06,4.87,4.89,20.54,20.44,721.22,0.14
11,20.19,6.77,4.27,14.77,23.43,332.77,0.3
12,20.17,1.57,1.99,63.76,50.21,119.57,0.84
13,19.48,4.52,4.89,22.14,20.46,225.53,0.44
14,19.24,3.01,3.07,33.25,32.62,193.09,0.52
15,19.06,2.94,3.69,34.02,27.1,152.14,0.66
16,18.27,5.58,6.08,17.91,16.44,257.53,0.39
17,18.24,5.81,5.06,17.21,19.76,286.45,0.35
18,17.95,4.24,4.16,23.6,24.06,239.44,0.42
19,17.87,2.36,3.12,42.33,32.07,215.92,0.46
20,17.77,5.62,5.52,17.8,18.12,210.94,0.47
21,17.35,5.61,4.04,17.82,24.75,239.34,0.42
22,17,13.35,9.68,7.49,10.33,214.81,0.47
23,16.59,3.1,3.37,32.29,29.7,148.39,0.67
24,16.35,6.48,6.5,15.42,15.39,302.03,0.33
25,16.32,7.78,9.01,12.85,11.09,224.74,0.44
26,16.29,5.17,5.11,19.35,19.57,218.35,0.46
27,15.95,5.03,5.42,19.89,18.45,183.97,0.54
28,15.61,3.77,3.4,26.5,29.37,182.1,0.55
29,15.52,3.52,3.42,28.39,29.21,138.64,0.72
30,15.27,3.36,3.21,29.79,31.18,218.77,0.46
31,14.87,2.19,3.43,45.62,29.18,110.65,0.9
32,14.83,4.68,4.59,21.36,21.78,149.26,0.67
33,14.78,5.77,6.88,17.32,14.54,356.11,0.28
34,14.66,4.79,4.46,20.89,22.43,125.46,0.8
35,14.05,4.01,5.33,24.92,18.78,128.55,0.78
36,13.23,5.08,5.64,19.69,17.73,199.3,0.5
37,12.91,5.97,6.86,16.75,14.58,114.63,0.87
38,12.9,4.24,4.43,23.57,22.59,84.11,1.19
39,12.84,6.69,6.41,14.95,15.61,192.89,0.52
40,12.22,3.61,3.83,27.73,26.14,269.12,0.37
41,12.06,11.48,7.68,8.71,13.02,98.17,1.02
42,12.06,6.74,6.8,14.84,14.71,151.97,0.66
43,11.93,2.64,3.19,37.89,31.36,78.5,1.27
44,11.88,3.13,3.54,31.97,28.29,101.79,0.98
45,11.75,6.69,5.09,14.94,19.66,138.58,0.72
46,11.52,5.37,5.46,18.61,18.31,107.72,0.93
47,11.19,2.55,3.12,39.26,32.03,69.76,1.43
48,11.13,3.94,3.96,25.41,25.28,71.06,1.41
49,10.95,4.43,4.99,22.59,20.02,81.5,1.23
50,10.94,3.46,3.3,28.9,30.34,105.89,0.94
51,10.76,7.04,8.21,14.2,12.17,131.17,0.76
52,10.75,4.59,5.9,21.79,16.96,72.68,1.38
53,10.64,3.29,3.51,30.38,28.47,67.46,1.48
54,10.56,4.89,4.73,20.43,21.15,87.75,1.14
55,10.54,3,3.78,33.31,26.43,127.94,0.78
56,10.37,3.07,4.01,32.59,24.96,73.09,1.37
57,10.34,4.21,4.7,23.77,21.27,65.26,1.53
58,10,5.85,5.94,17.09,16.83,96.06,1.04
59,9.88,4.33,5.08,23.11,19.68,78.76,1.27
60,9.85,4.15,4.48,24.08,22.32,146.97,0.68
61,9.81,5.44,6.14,18.4,16.29,86.78,1.15
62,9.8,6.99,4.39,14.3,22.78,116.63,0.86
63,9.72,3.86,4.05,25.91,24.67,71.21,1.4
64,9.52,3.63,3.98,27.51,25.12,60.17,1.66
65,9.28,4.42,4.53,22.63,22.06,65.52,1.53
66,9.07,4.09,4.07,24.45,24.59,69.86,1.43
67,9.02,6.32,6.47,15.83,15.47,58.63,1.71
68,8.98,6.19,6.57,16.15,15.22,97.11,1.03
69,8.8,5.5,5.87,18.2,17.05,79.85,1.25
70,8.68,4.35,4.38,23.01,22.82,52.71,1.9
71,8.67,5.3,5.7,18.87,17.53,59.54,1.68
72,8.57,3.06,3.28,32.69,30.53,51.22,1.95
73,8.51,4.5,5.49,22.24,18.21,62.4,1.6
74,8.43,4.37,4.52,22.9,22.14,66.25,1.51
75,8.43,5.67,5.91,17.65,16.91,61.04,1.64
76,8.07,5.36,6.33,18.65,15.79,106.92,0.94
77,8.06,4.49,5.12,22.27,19.52,54.56,1.83
78,7.74,8.63,9.78,11.59,10.22,89.64,1.12
79,7.73,3.72,4.54,26.89,22.01,46.48,2.15
80,7.68,6.99,6.05,14.31,16.54,102.39,0.98
81,7.38,4.09,3.91,24.45,25.57,53.6,1.87
82,7.36,4.51,4.78,22.15,20.92,49.5,2.02
83,7.13,3.82,4.07,26.18,24.54,45.62,2.19
84,7.07,5.96,6.22,16.77,16.07,58.05,1.72
85,7.06,11.93,16.1,8.38,6.21,96.62,1.03
86,6.91,9.47,7,10.55,14.29,51.1,1.96
87,6.67,4.68,4.87,21.37,20.53,54.89,1.82
88,6.58,6.78,6.34,14.76,15.78,43.16,2.32
89,6.28,5.74,6.45,17.42,15.51,51.47,1.94
90,6.21,7.37,6.48,13.57,15.43,77.18,1.3
91,6.14,5.43,6,18.42,16.68,40.86,2.45
92,5.87,6.26,6.64,15.98,15.07,41,2.44
93,5.85,4.74,5.3,21.08,18.87,39.23,2.55
94,5.7,10.41,12.65,9.61,7.9,49.06,2.04
95,5.54,8.02,8.73,12.46,11.45,51.65,1.94
96,5.43,10.63,10.98,9.4,9.1,40.91,2.44
97,4.74,7.09,6.93,14.11,14.43,37.61,2.66
98,3.37,11.04,12.51,9.06,7.99,24.74,4.04
99,3.34,9.68,10.2,10.33,9.81,37.17,2.69
100,3.33,8.21,14.46,12.17,6.92,28.19,3.55
101,2.78,7.02,8.17,14.25,12.23,20.47,4.89
102,37.57,1.95,2.14,51.16,46.74,239.94,0.42
103,34.09,3.66,6.39,27.33,15.65,374.92,0.27
104,29.93,10.62,14.47,9.42,6.91,737.47,0.14
105,29.79,6.28,6.05,15.91,16.52,336.12,0.3
106,26.16,4.86,5.09,20.59,19.64,611.79,0.16
107,24.98,2.53,2.64,39.57,37.84,210.65,0.47
108,24.38,4.34,3.59,23.05,27.87,214.23,0.47
109,24.27,4.81,5.53,20.78,18.1,236.41,0.42
110,23.17,2.74,3.19,36.52,31.33,144.38,0.69
111,22.72,1.2,1.5,83.3,66.83,139.85,0.72
112,21.06,4.87,4.89,20.54,20.44,721.22,0.14
113,20.19,6.77,4.27,14.77,23.43,332.77,0.3
114,20.17,1.57,1.99,63.76,50.21,119.57,0.84
115,19.48,4.52,4.89,22.14,20.46,225.53,0.44
116,19.24,3.01,3.07,33.25,32.62,193.09,0.52
117,19.06,2.94,3.69,34.02,27.1,152.14,0.66
118,18.27,5.58,6.08,17.91,16.44,257.53,0.39
119,18.24,5.81,5.06,17.21,19.76,286.45,0.35
120,17.95,4.24,4.16,23.6,24.06,239.44,0.42
121,17.87,2.36,3.12,42.33,32.07,215.92,0.46
122,17.77,5.62,5.52,17.8,18.12,210.94,0.47
123,17.35,5.61,4.04,17.82,24.75,239.34,0.42
124,17,13.35,9.68,7.49,10.33,214.81,0.47
125,16.59,3.1,3.37,32.29,29.7,148.39,0.67
126,16.35,6.48,6.5,15.42,15.39,302.03,0.33
127,16.32,7.78,9.01,12.85,11.09,224.74,0.44
128,16.29,5.17,5.11,19.35,19.57,218.35,0.46
129,15.95,5.03,5.42,19.89,18.45,183.97,0.54
130,15.61,3.77,3.4,26.5,29.37,182.1,0.55
131,15.52,3.52,3.42,28.39,29.21,138.64,0.72
132,15.27,3.36,3.21,29.79,31.18,218.77,0.46
133,14.87,2.19,3.43,45.62,29.18,110.65,0.9
134,14.83,4.68,4.59,21.36,21.78,149.26,0.67
135,14.78,5.77,6.88,17.32,14.54,356.11,0.28
136,14.66,4.79,4.46,20.89,22.43,125.46,0.8
137,14.05,4.01,5.33,24.92,18.78,128.55,0.78
138,13.23,5.08,5.64,19.69,17.73,199.3,0.5
139,12.91,5.97,6.86,16.75,14.58,114.63,0.87
140,12.9,4.24,4.43,23.57,22.59,84.11,1.19
141,12.84,6.69,6.41,14.95,15.61,192.89,0.52
142,12.22,3.61,3.83,27.73,26.14,269.12,0.37
143,12.06,11.48,7.68,8.71,13.02,98.17,1.02
144,12.06,6.74,6.8,14.84,14.71,151.97,0.66
145,11.93,2.64,3.19,37.89,31.36,78.5,1.27
146,11.88,3.13,3.54,31.97,28.29,101.79,0.98
147,11.75,6.69,5.09,14.94,19.66,138.58,0.72
148,11.52,5.37,5.46,18.61,18.31,107.72,0.93
149,11.19,2.55,3.12,39.26,32.03,69.76,1.43
150,11.13,3.94,3.96,25.41,25.28,71.06,1.41
151,10.95,4.43,4.99,22.59,20.02,81.5,1.23
152,10.94,3.46,3.3,28.9,30.34,105.89,0.94
153,10.76,7.04,8.21,14.2,12.17,131.17,0.76
154,10.75,4.59,5.9,21.79,16.96,72.68,1.38
155,10.64,3.29,3.51,30.38,28.47,67.46,1.48
156,10.56,4.89,4.73,20.43,21.15,87.75,1.14
157,10.54,3,3.78,33.31,26.43,127.94,0.78
158,10.37,3.07,4.01,32.59,24.96,73.09,1.37
159,10.34,4.21,4.7,23.77,21.27,65.26,1.53
160,10,5.85,5.94,17.09,16.83,96.06,1.04
161,9.88,4.33,5.08,23.11,19.68,78.76,1.27
162,9.85,4.15,4.48,24.08,22.32,146.97,0.68
163,9.81,5.44,6.14,18.4,16.29,86.78,1.15
164,9.8,6.99,4.39,14.3,22.78,116.63,0.86
165,9.72,3.86,4.05,25.91,24.67,71.21,1.4
166,9.52,3.63,3.98,27.51,25.12,60.17,1.66
167,9.28,4.42,4.53,22.63,22.06,65.52,1.53
168,9.07,4.09,4.07,24.45,24.59,69.86,1.43
