,0,1,2,3,4,5,6
0,42.41,3.51,1,28.48,100,596.27,0.17
1,32.31,5.32,1.79,18.8,55.85,450.31,0.22
2,29.11,3.94,4.31,25.4,23.2,317.54,0.31
3,27.06,3.02,3.17,33.16,31.51,174.02,0.57
4,26.13,2.89,3.22,34.57,31.02,226.14,0.44
5,23.03,2.33,12.19,42.97,8.2,297.87,0.34
6,22.59,3.83,4.22,26.11,23.7,142.16,0.7
7,21.28,1.97,2.71,50.73,36.83,253.71,0.39
8,20.63,5.04,5.62,19.86,17.8,440.04,0.23
9,20.41,11.56,13.25,8.65,7.54,503.91,0.2
10,20.19,8.64,7.65,11.58,13.07,296.96,0.34
11,19.28,5.61,5.8,17.81,17.25,279.29,0.36
12,19.07,4.73,3.85,21.12,26.01,166.13,0.6
13,18.79,5.77,5.2,17.32,19.22,200.47,0.5
14,18.78,3.65,3.31,27.42,30.2,220.91,0.45
15,18.61,3.17,4.37,31.56,22.89,151.12,0.66
16,18.57,12.83,11.76,7.79,8.51,237.63,0.42
17,18.3,3.96,6,25.23,16.67,155.77,0.64
18,18.24,9.16,6.35,10.92,15.74,214.1,0.47
19,17.78,5.59,6.85,17.9,14.6,237.72,0.42
20,17.73,5.35,5.58,18.71,17.92,271.29,0.37
21,17.57,5.47,4.41,18.28,22.69,155.11,0.64
22,17.33,1.59,2.53,63.02,39.52,105.33,0.95
23,16.86,3.05,3.33,32.84,30.04,160.94,0.62
24,16.81,4.71,5.13,21.24,19.47,556.65,0.18
25,16.59,8.74,11.19,11.44,8.94,190.52,0.52
26,16.18,3.64,3.73,27.49,26.81,172.64,0.58
27,16.03,3.06,3.23,32.65,30.95,185.22,0.54
28,15.95,5.67,6.25,17.62,16,301.69,0.33
29,14.96,4.44,4.59,22.5,21.8,178.83,0.56
30,14.82,4.72,5.34,21.2,18.73,172.1,0.58
31,14.76,3.78,5.37,26.43,18.62,146.24,0.68
32,14.67,7.1,6.49,14.09,15.4,211.44,0.47
33,14.23,5.32,5.3,18.79,18.87,191.96,0.52
34,13.92,3.23,3.53,30.97,28.31,212.14,0.47
35,13.86,4.84,5.14,20.66,19.45,273.89,0.37
36,13.38,8.91,3.56,11.22,28.06,138.22,0.72
37,13.37,2.87,3.23,34.89,30.99,121.41,0.82
38,13.24,4.81,4.83,20.8,20.71,130.21,0.77
39,12.91,4.04,4.06,24.76,24.61,94.66,1.06
40,12.83,3.6,3.73,27.74,26.82,92.6,1.08
41,12.71,3.84,5.64,26.03,17.74,91.93,1.09
42,12.7,8.54,7.49,11.71,13.35,129.67,0.77
43,12.4,3.98,3.68,25.13,27.2,132.73,0.75
44,12.39,6.71,3.72,14.91,26.87,197.99,0.51
45,12.15,2.83,3.55,35.38,28.18,98.44,1.02
46,11.97,2.98,3.25,33.55,30.81,114.57,0.87
47,11.74,3.4,3.41,29.45,29.37,93.91,1.06
48,11.6,5.85,6.47,17.09,15.46,125.44,0.8
49,11.37,4.43,4.79,22.56,20.86,94.62,1.06
50,11.35,3.19,4.14,31.31,24.15,86.32,1.16
51,11.35,6.87,7.45,14.56,13.42,164.92,0.61
52,11.12,5.34,6.54,18.73,15.29,118.19,0.85
53,11.09,7.36,8.22,13.59,12.17,129.33,0.77
54,11.09,3.91,3.98,25.58,25.13,92.12,1.09
55,11.04,4.26,3.87,23.46,25.85,197.32,0.51
56,10.45,3.71,4.36,26.97,22.92,73.57,1.36
57,10.43,4.03,4.56,24.81,21.95,74.09,1.35
58,10.32,2.83,3.91,35.33,25.61,73.05,1.37
59,10.3,4.71,9,21.25,11.12,165.07,0.61
60,10.19,4.77,5.31,20.95,18.82,69.39,1.44
61,10.16,3.34,3.94,29.9,25.36,126.43,0.79
62,9.87,5.44,5.81,18.38,17.22,101.23,0.99
63,9.73,10.95,8.24,9.13,12.14,83.19,1.2
64,9.63,3.91,4.25,25.57,23.51,101.62,0.98
